Category,Topic,Tonality,Summary
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Trains,Customer Satisfaction,Positive ,"SMRT Train Captain Tan Ming Hui, was interviewed by the hosts of The 5 Show. The 5 Show is talk show that interviews interesting personalities that have sprung up in the local news sphere. The show is broadcast on weekday nights.

Tan Ming Hui cited his personal experiences as a Train Captain and what motivated him to send out heartfelt or quirky announcements during his daily duties. He also shared his experience on dealing with negative comments and gave a sneak preview of some of the announcements he will make in the upcoming festive season.
"
Forum,Repair/Maintenance ,,"In a reply by Mr Chia Chun Wah, Vice-President, Circle Line & Bukit Panjang Light Rail Transit, SMRT Corporation to the letter from Mr Larry Chong Tuck Lai, ""How can passengers help themselves in a train breakdown?"", Mr Chia clarified the safety measures in place for the Circle Line Trains. The letter is reproduced below.

There are smoke detectors similar to those found in buildings, installed in each Circle Line train cabin. When external smoke is detected, air intake will shut to shield the cabin from smoke. But when internal smoke is detected, the exhaust air vent will be opened to expel air into the tunnel. 

Our Operations Control Centre, which monitors Circle Line trains at all times, observes strict procedures under a Rail Incident Management Plan. This plan places the highest priority on the safety and well-being of passengers during rail incidents.

When a train is unresponsive to the Operations Control Centre's attempts to resume service, station staff will be sent immediately to attend to passengers on board the stalled vehicle. Even at the longest stretch between Circle Line stations, station staff could reach the train within minutes via service walkways located alongside the tracks. The ability of staff to respond quickly and effectively to such incidents is tested regularly.

Public transport operators are required to clear passengers from stalled trains within half an hour. Ventilation systems will continue operating for more than 45 minutes during such situations. As an additional safeguard, doors in each cabin have emergency handles to allow passengers to open them to improve airflow and ventilation.

Our first priority will be to recover stalled trains as quickly as possible and to enable passengers to detrain at the nearest station.

An immobile train can be “pushed out” with the assistance of another train. This procedure allows passengers to resume their journey from the next station. It also allows the stalled train to be cleared from the track so that trains behind it can continue with their journey.

As a precaution, whenever there is a detrainment involving the movement of passengers to the track, emergency services will assist SMRT with the evacuation.

We hope this explanation reassures commuters like Mr Chong of SMRT’s comprehensive safety and security measures in place for all passengers who journey with us.
"
SMRT Buses,Customer Service ,Positive ,"This is the delayed news coverage of the rollout of new bus routes under BSEP first reported on 6 Jan 2015.

Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.
"
SMRT Buses,Safety/Accident,Neutral ,"The door of a lorry was stuck between the automatic door of a SMRT bus, and both vehicles ended up getting stranded. This incident occurred outside Ngee Ann City on Jan 8.

Some speculated that the bus was travelling on the road, and the lorry was parked at the side of the same road when the incident occurred. 
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"There will be a new diploma offering by Republic Polytechnic, which is meant to grow the local land transport talent pool.The Land Transport Authority and public transport operators signed a Memorandum of Understanding (MoU) with the polytechnic on Friday (Jan 9). 

Mr Wong Wai Keong, executive vice president for rail at SBS Transit, said: “Typically, it takes us about two years for a freshman to come in to understand the system and the principles, and actually how to maintain and operate it. I will see that with this type of base foundation they have, we can probably cut it down by half.”

Ms Kang Huey Ling, principal of the SMRT Institute, added: ""The internship programme can be offered in the broader areas. That includes our operations - we can have our operations management team taking in some of these intern students. We can also have the students work with us in our planning departments ... Like how can we plan our capacity, how can we plan our train service operations in order to meet the needs.""

The diploma course will see its first batch of 60 students in April this year.
"
SMRT Corporate,CSR,Positive ,"Rail infrastructure enhancements - including the expansion of the rail network and major upgrades to existing lines - have signalled the need for technicians to maintain the train system here. To meet the growing demand, the Institute of Technical Education (ITE) will offer a two-year Higher Nitec course in rapid transit engineering this April. 

It is one of three new Higher Nitec courses ITE is introducing this year, which can be taken by those who have a related Nitec certificate or who scored at least E8 in three relevant O-level subjects. A pioneer cohort of 40 students will attend classes at ITE College West in Choa Chu Kang, where they will be trained in the maintenance of rail communications equipment, such as train intercoms and closed circuit television cameras and signalling systems that help trains run more frequently, among others. In the final semester, students will serve a three-month attachment with rail operators SMRT and SBS Transit and engineering firms in the rapid transit sector. 

Graduates can take on jobs with train operators and engineering firms as technicians and technical officers.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
SMRT Trains,Delay/Disruption,Negative,"A Wednesday morning slowdown on MRT train service on the East-West line was caused by a door fault, said SMRT. In response to queries, SMRT said technicians retrieved an earring and two beads that caused the door to jam at 8am on an east-bound train travelling from Joo Koon to Dover. It added that trains travelled at slower speeds, and that passengers at Chinese Garden MRT station were asked to alight and told to board two additionally deployed trains instead.

VP CIC, Mr Patrick Nathan said passengers were asked to alight at Chinese Garden MRT station and board two additional trains that had been deployed to continue their journey. “Our technicians later retrieved some jewellery pieces (an earring and two beads), which caused the door to jam,” said Mr Nathan.

Several news sources uploaded screenshots of Twitter posts of crowded train platforms. Some netizens claim that they were late for work or school due to the incident.
"
